W0 ,W1 ,W2 
0,0,0
0.001,0.0,0.001
0.0029980000000000002,0.001998,0.0029980000000000002
0.005985010000000001,0.00498501,0.005985010000000001
0.00996007196,0.00498501,0.00996007196
0.014911261652160002,0.00993619969216,0.00996007196
0.020846645519779203,0.0158715835597792,0.00996007196
0.027784095635179865,0.022809033675179863,0.016897522075400663
0.035642132639079366,0.030667070679079367,0.024755559079300167
0.04444022261716515,0.03946516065716515,0.03355364905738595
0.045322763584833434,0.03946516065716515,0.034436190025054235
0.04709105550019466,0.04123345257252638,0.036204481940415464
0.04984962341501142,0.04399202048734313,0.03896304985523222
0.05363662221882607,0.04399202048734313,0.04275004865904687
0.05836172243902331,0.04871712070754037,0.04275004865904687
0.06406574218509507,0.05442114045361214,0.04275004865904687
0.0708500841133437,0.06120548238186078,0.04953439058729551
0.07841294629565403,0.0687683445641711,0.05709725276960583
0.08695693655735705,0.07731233482587412,0.06564124303130885
0.08772702604294251,0.07731233482587412,0.06641133251689431
0.08927530943687374,0.07886061821980535,0.06795961591082554
0.09181508132434973,0.08140039010728134,0.07049938779830153
0.09542200645910169,0.08140039010728134,0.07410631293305349
0.0999305637313199,0.08590894737949953,0.07410631293305349
0.10541289106513752,0.09139127471331715,0.07410631293305349
0.11205058931171269,0.09802897295989232,0.08074401117962866
0.11933074159000882,0.10530912523818846,0.0880241634579248
0.12763141098233047,0.11360979463051012,0.09632483285024646
0.1282938449438674,0.11360979463051012,0.09698726681178337
0.12963140961536995,0.11494735930201269,0.09832483148328594
0.13196162402955347,0.11727757371619621,0.10065504589746946
0.13539612738071077,0.11727757371619621,0.10408954924862676
0.13969728493033307,0.1215787312658185,0.10408954924862676
0.14496718317109084,0.12684862950657627,0.10408954924862676
0.15146442917965797,0.1333458755151434,0.11058679525719389
0.1584738098466804,0.14035525618216585,0.11759617592421635
0.16654148174051459,0.14842292807600002,0.12566384781805054
0.16710085348288,0.14842292807600002,0.12622321956041596
0.16823659677779065,0.14955867137091067,0.1273589628553266
0.17036610198448437,0.1516881765776044,0.12948846806202033
0.17363551209842734,0.1516881765776044,0.1327578781759633
0.17773802689013024,0.1557906913693073,0.1327578781759633
0.18280436821958693,0.16085703269876397,0.1327578781759633
0.18916709190779385,0.1672197563869709,0.13912060186417022
0.1959171348794985,0.17396979935867554,0.14587064483587486
0.20376169641203534,0.1818143608912124,0.1537152063684117
0.20422240514836368,0.1818143608912124,0.15417591510474005
0.20516484853906852,0.18275680428191723,0.1551183584954449
0.2071021190040835,0.18469407474693222,0.15705562896045988
0.21021345474812966,0.18469407474693222,0.16016696470450603
0.21412571380398768,0.18860633380279024,0.16016696470450603
0.21899699579026802,0.19347761578907058,0.16016696470450603
0.2252308765981951,0.19971149659699766,0.16640084551243312
0.23173253272190333,0.2062131527207059,0.17290250163614135
0.23936345322611088,0.21384407322491344,0.1805334221403489
0.23972971227751952,0.21384407322491344,0.18089968119175753
0.24048701724223515,0.21460137818962907,0.18165698615647316
0.2422401694230758,0.21635453037046973,0.18341013833731382
0.245200153068418,0.21635453037046973,0.186370121982656
0.2489301890966275,0.22008456639867924,0.186370121982656
0.2536145505199535,0.22476892782200525,0.186370121982656
0.2597250279918069,0.23087940529385864,0.1924805994545094
0.26598878545416355,0.23714316275621528,0.19874435691686604
0.27341513410969015,0.24456951141174188,0.20617070557239264
0.2736909787585963,0.24456951141174188,0.20644655022129882
0.2742709619898088,0.24514949464295438,0.20702653345251132
0.27584776946021633,0.24672630211336188,0.20860334092291882
0.27866283921215396,0.24672630211336188,0.21141841067485645
0.2822183455755001,0.250281808476708,0.21141841067485645
0.2867235815853429,0.2547870444865508,0.21141841067485645
0.2927158655041096,0.26077932840531753,0.21741069459362314
0.2987517693768784,0.26681523227808635,0.22344659846639195
0.3059822321152681,0.274045695016476,0.23067706120478162
0.3061715271269316,0.274045695016476,0.2308663562164451
0.30658167509733397,0.2744558429868784,0.23127650418684753
0.3079895830328727,0.27586375092241716,0.23268441212238627
0.3106659050316858,0.27586375092241716,0.23536073412119934
0.3140542500836456,0.279252095974377,0.23536073412119934
0.3183878267155433,0.28358567260627465,0.23536073412119934
0.324266906809494,0.28946475270022537,0.24123981421515006
0.330084577769614,0.29528242366034535,0.24705748517527001
0.3371274734653375,0.3023253193560689,0.25410038087099357
0.3372339202916451,0.3023253193560689,0.2542068276973012
0.337481403204717,0.30257280226914074,0.25445431061037305
0.3387275422563972,0.30381894132082093,0.25570044966205324
0.3412710220712267,0.30381894132082093,0.2582439294768828
0.34449926288642446,0.30704718213601867,0.2582439294768828
0.3486683309655171,0.3112162502151113,0.2582439294768828
0.3544389862046445,0.3169869054542387,0.2640145847160102
0.36004763846343135,0.32259555771302556,0.26962323697479706
